"Cloud Provider","Account Number","Subscription Name","Service Name","Resource Name","Resource ID","Resource Type","Operating System","State","Private IP","Public IP","Network Interface","Owner","Project Name","Project ID","Region Name","Zone Name","VPC ID","Subnet ID","Memory (MB)","CPU Cores","Launch Time","Description","timestamp"
"GCP","019DAC-46CEC3-169EA2","billingAccounts","Compute Engine","gmuvmp35454-004","4355773384592709442","custom-8-16384","windows-server-2016-dc","RUNNING","10.179.12.34","None","","","projects/426139793976","prod-35454","asia-south1","asia-south1-c","tim-cio-prod","cio-hci-35454-prod-db-subnet2","16384","8","2021-01-27T23:37:19.008-08:00","","2023-06-09T08:15:12"
"GCP","019DAC-46CEC3-169EA2","billingAccounts","Compute Engine","gvmspdgkem-001","7246064247673598651","e2-medium","ubuntu-1604-xenial","TERMINATED","10.41.5.14","None","","","projects/834256345247","prod-dr-12289","asia-southeast1","asia-southeast1-b","tim-cio-prod-dr","cio-msft-sysadmin-12289-prod-gke-dr-subnet","4096","2","2021-05-05T23:27:33.107-07:00","","2023-06-09T08:15:12"
"GCP","019DAC-46CEC3-169EA2","billingAccounts","Compute Engine","gvmspdgkem-001","7246064247673598651","e2-medium","ubuntu-1604-xenial","TERMINATED","10.41.5.14","None","","","projects/834256345247","prod-dr-12289","asia-southeast1","asia-southeast1-b","tim-cio-prod-dr","cio-msft-sysadmin-12289-prod-gke-dr-subnet","4096","2","2021-05-05T23:27:33.107-07:00","","2023-06-09T08:15:12"
"GCP","019DAC-46CEC3-169EA2","billingAccounts","Compute Engine","gvm-bopdr-003","5600480195742662066","custom-10-66560","sles-sap-15","TERMINATED","10.41.4.12","None","","","projects/826650534220","prod-dr-40272","asia-southeast1","asia-southeast1-b","tim-cio-prod-dr","newagefinance-40272-prod-app-dr-subnet","66560","10","2021-04-12T05:55:57.818-07:00","","2023-06-09T08:15:12"
"GCP","019DAC-46CEC3-169EA2","billingAccounts","Compute Engine","posgresql-client-01","3757317357421511549","e2-medium","ubuntu-2004-lts","RUNNING","10.179.25.202","None","","","projects/167720560224","cloud-security-management","asia-south1","asia-south1-c","trust-vpc","cloud-security-management-gke-primary-subnet-01","4096","2","2022-09-20T01:45:07.782-07:00","","2023-06-09T08:15:12"
"GCP","019DAC-46CEC3-169EA2","billingAccounts","Compute Engine","gvmspdr12289-b","4943835135610068803","e2-custom-4-8192","windows-server-2016-dc","TERMINATED","10.41.4.131","None","","","projects/834256345247","prod-dr-12289","asia-southeast1","asia-southeast1-b","tim-cio-prod-dr","cio-msft-sysadmin-12289-prod-app-dr-subnet","8192","4","2021-05-03T00:09:32.787-07:00","","2023-06-09T08:15:12"
"GCP","019DAC-46CEC3-169EA2","billingAccounts","Compute Engine","gvmspdr12289-b","4943835135610068803","e2-custom-4-8192","windows-server-2016-dc","TERMINATED","10.41.4.131","None","","","projects/834256345247","prod-dr-12289","asia-southeast1","asia-southeast1-b","tim-cio-prod-dr","cio-msft-sysadmin-12289-prod-app-dr-subnet","8192","4","2021-05-03T00:09:32.787-07:00","","2023-06-09T08:15:12"
"GCP","019DAC-46CEC3-169EA2","billingAccounts","Compute Engine","gmuvdmgmtcduta-005","7743670816736477957","e2-highcpu-4","ubuntu-1604-xenial","RUNNING","10.179.41.7","None","","","projects/526326811285","poc-mgmt-cdu-ta","asia-south1","asia-south1-c","techm-vpc-poc","mgmt-project-for-cdu-ta-mgmt-cdu-ta-poc-subnet","4096","4","2020-10-20T03:37:32.354-07:00","","2023-06-09T08:15:12"
"GCP","019DAC-46CEC3-169EA2","billingAccounts","Compute Engine","gmuvmp35454-b","3533776179939917698","e2-medium","windows-server-2016-dc","RUNNING","10.179.9.162","None","","","projects/426139793976","prod-35454","asia-south1","asia-south1-c","tim-cio-prod","cio-hci-35454-prod-app-subnet","4096","2","2020-11-04T20:37:04.616-08:00","","2023-06-09T08:15:12"
"GCP","019DAC-46CEC3-169EA2","billingAccounts","Compute Engine","gvm-drl-001","6321812376747024434","n2-highmem-64","sles-sap-15","TERMINATED","10.41.4.82","None","","","projects/826650534220","prod-dr-40272","asia-southeast1","asia-southeast1-b","tim-cio-prod-dr","newagefinance-40272-prod-db-dr-subnet","524288","64","2022-02-07T05:30:06.676-08:00","","2023-06-09T08:15:12"
"GCP","019DAC-46CEC3-169EA2","billingAccounts","Compute Engine","gvmspdr12289001","332061624404424514","e2-standard-8","windows-server-2016-dc","RUNNING","10.41.4.194","None","","","projects/834256345247","prod-dr-12289","asia-southeast1","asia-southeast1-b","tim-cio-prod-dr","cio-msft-sysadmin-12289-prod-db-dr-subnet","32768","8","2021-04-26T20:49:02.229-07:00","","2023-06-09T08:15:12"
"GCP","019DAC-46CEC3-169EA2","billingAccounts","Compute Engine","gvmspdr12289001","332061624404424514","e2-standard-8","windows-server-2016-dc","RUNNING","10.41.4.194","None","","","projects/834256345247","prod-dr-12289","asia-southeast1","asia-southeast1-b","tim-cio-prod-dr","cio-msft-sysadmin-12289-prod-db-dr-subnet","32768","8","2021-04-26T20:49:02.229-07:00","","2023-06-09T08:15:12"
"GCP","019DAC-46CEC3-169EA2","billingAccounts","Compute Engine","gcpinmumvm-21923-003","5354112465368020632","e2-custom-6-16384","windows-server-2016-dc","TERMINATED","10.179.8.226","None","","","projects/662346668248","prod-21923","asia-south1","asia-south1-b","tim-cio-prod","cio-ps-21923-prod-db-subnet","16384","6","2020-09-25T03:37:45.715-07:00","","2023-06-09T08:15:12"
"GCP","019DAC-46CEC3-169EA2","billingAccounts","Compute Engine","gmuvmdmgmtcduta-b","9151673409771409439","e2-standard-2","windows-server-2016-dc","RUNNING","10.179.41.2","None","","","projects/526326811285","poc-mgmt-cdu-ta","asia-south1","asia-south1-c","techm-vpc-poc","mgmt-project-for-cdu-ta-mgmt-cdu-ta-poc-subnet","8192","2","2020-10-07T05:05:06.009-07:00","","2023-06-09T08:15:12"
"GCP","019DAC-46CEC3-169EA2","billingAccounts","Compute Engine","gvm-edpdr-001","796414655017749615","n1-highmem-32","sles-sap-15","TERMINATED","10.41.4.74","None","","","projects/826650534220","prod-dr-40272","asia-southeast1","asia-southeast1-b","tim-cio-prod-dr","newagefinance-40272-prod-db-dr-subnet","212992","32","2021-05-04T22:52:01.158-07:00","","2023-06-09T08:15:12"
"GCP","019DAC-46CEC3-169EA2","billingAccounts","Compute Engine","gvmspdr12289002","9116772162969761677","e2-custom-8-32768","windows-server-2016-dc","RUNNING","10.41.4.130","None","","","projects/834256345247","prod-dr-12289","asia-southeast1","asia-southeast1-b","tim-cio-prod-dr","cio-msft-sysadmin-12289-prod-app-dr-subnet","32768","8","2021-10-01T01:40:02.978-07:00","","2023-06-09T08:15:12"
"GCP","019DAC-46CEC3-169EA2","billingAccounts","Compute Engine","gvmspdr12289002","9116772162969761677","e2-custom-8-32768","windows-server-2016-dc","RUNNING","10.41.4.130","None","","","projects/834256345247","prod-dr-12289","asia-southeast1","asia-southeast1-b","tim-cio-prod-dr","cio-msft-sysadmin-12289-prod-app-dr-subnet","32768","8","2021-10-01T01:40:02.978-07:00","","2023-06-09T08:15:12"
"GCP","019DAC-46CEC3-169EA2","billingAccounts","Compute Engine","gvmp-cspm-unity-01","3653600730521037368","n2d-custom-4-22528","ubuntu-2004-lts","RUNNING","10.179.25.131","None","","","projects/167720560224","cloud-security-management","asia-south1","asia-south1-b","trust-vpc","cloud-security-management-gvm-primary-subnet-01","22528","4","2022-11-23T00:07:52.949-08:00","","2023-06-09T08:15:12"
"GCP","019DAC-46CEC3-169EA2","billingAccounts","Compute Engine","gvm-epdr-001","754183190793714853","n1-highmem-4","sles-sap-15","TERMINATED","10.41.4.16","None","","","projects/826650534220","prod-dr-40272","asia-southeast1","asia-southeast1-b","tim-cio-prod-dr","newagefinance-40272-prod-app-dr-subnet","26624","4","2021-04-16T09:58:51.046-07:00","","2023-06-09T08:15:12"
"GCP","019DAC-46CEC3-169EA2","billingAccounts","Compute Engine","gmuvmp35454-001","4667744517855525979","e2-custom-8-16384","windows-server-2016-dc","RUNNING","10.179.9.163","None","","","projects/426139793976","prod-35454","asia-south1","asia-south1-b","tim-cio-prod","cio-hci-35454-prod-app-subnet","16384","8","2020-11-04T20:42:30.588-08:00","","2023-06-09T08:15:12"
"GCP","019DAC-46CEC3-169EA2","billingAccounts","Compute Engine","gvmspdr12289003","7322390983365498732","e2-custom-8-8192","windows-server-2016-dc","RUNNING","10.41.4.133","None","","","projects/834256345247","prod-dr-12289","asia-southeast1","asia-southeast1-a","tim-cio-prod-dr","cio-msft-sysadmin-12289-prod-app-dr-subnet","8192","8","2021-05-24T06:26:27.946-07:00","","2023-06-09T08:15:12"
"GCP","019DAC-46CEC3-169EA2","billingAccounts","Compute Engine","gvm-gdpdr-001","5178323784295966452","n1-highmem-32","sles-sap-15","TERMINATED","10.41.4.69","None","","","projects/826650534220","prod-dr-40272","asia-southeast1","asia-southeast1-b","tim-cio-prod-dr","newagefinance-40272-prod-db-dr-subnet","212992","32","2021-03-09T03:12:28.355-08:00","","2023-06-09T08:15:12"
"GCP","019DAC-46CEC3-169EA2","billingAccounts","Compute Engine","gvmspdr12289003","7322390983365498732","e2-custom-8-8192","windows-server-2016-dc","RUNNING","10.41.4.133","None","","","projects/834256345247","prod-dr-12289","asia-southeast1","asia-southeast1-a","tim-cio-prod-dr","cio-msft-sysadmin-12289-prod-app-dr-subnet","8192","8","2021-05-24T06:26:27.946-07:00","","2023-06-09T08:15:12"
"GCP","019DAC-46CEC3-169EA2","billingAccounts","Compute Engine","container-security-kubectl-001","1900793545879868743","e2-custom-4-8192","ubuntu-2004-lts","RUNNING","10.179.26.4","None","","","projects/618541317282","container-security-poc","asia-south1","asia-south1-c","techm-vpc-poc","container-security-poc-gvm-primary-subnet-01","8192","4","2022-09-21T21:59:21.029-07:00","","2023-06-09T08:15:12"
"GCP","019DAC-46CEC3-169EA2","billingAccounts","Compute Engine","centos7test","3645290660278249033","e2-medium","centos-7","RUNNING","10.179.66.52","None","","","projects/593286512170","tim-common-services","asia-south1","asia-south1-c","tim-common-services","common-service-template-subnet","4096","2","2022-03-28T22:27:03.338-07:00","","2023-06-09T08:15:12"
"GCP","019DAC-46CEC3-169EA2","billingAccounts","Compute Engine","gcpinmumvm-21923-001","7984569966101823300","e2-custom-6-16384","windows-server-2016-dc","TERMINATED","10.179.8.194","None","","","projects/662346668248","prod-21923","asia-south1","asia-south1-a","tim-cio-prod","cio-ps-21923-prod-app-subnet","16384","6","2020-09-25T03:08:45.933-07:00","","2023-06-09T08:15:12"
"GCP","019DAC-46CEC3-169EA2","billingAccounts","Compute Engine","gvmp-cspm-unity-02","5492450030085288782","n2d-standard-4","ubuntu-2004-lts","RUNNING","10.179.25.132","None","","","projects/167720560224","cloud-security-management","asia-south1","asia-south1-b","trust-vpc","cloud-security-management-gvm-primary-subnet-01","16384","4","2022-11-22T00:51:46.955-08:00","","2023-06-09T08:15:12"
"GCP","019DAC-46CEC3-169EA2","billingAccounts","Compute Engine","gmuvdmgmtcduta-001","2777844881574599226","e2-standard-4","ubuntu-2004-lts","RUNNING","10.179.41.3","None","","","projects/526326811285","poc-mgmt-cdu-ta","asia-south1","asia-south1-b","techm-vpc-poc","mgmt-project-for-cdu-ta-mgmt-cdu-ta-poc-subnet","16384","4","2021-12-27T03:34:45.911-08:00","","2023-06-09T08:15:12"
"GCP","019DAC-46CEC3-169EA2","billingAccounts","Compute Engine","gsinvmp03080-01","5012157929153082539","n2-custom-32-65536","rhel-8-server","RUNNING","10.41.5.130","None","","","projects/726163429262","prod-03080","asia-southeast1","asia-southeast1-b","tim-cio-prod-dr","cio-ps-sysadmin-prod-dr-subnet","65536","32","2023-02-28T06:05:57.232-08:00","","2023-06-09T08:15:12"
"GCP","019DAC-46CEC3-169EA2","billingAccounts","Compute Engine","gvmspdr12289004","6791037957584592982","e2-custom-8-16384","windows-server-2016-dc","RUNNING","10.41.4.195","None","","","projects/834256345247","prod-dr-12289","asia-southeast1","asia-southeast1-a","tim-cio-prod-dr","cio-msft-sysadmin-12289-prod-db-dr-subnet","16384","8","2021-05-24T05:40:25.925-07:00","","2023-06-09T08:15:12"
"GCP","019DAC-46CEC3-169EA2","billingAccounts","Compute Engine","gvm-grpdr-001","4227695256511728710","custom-6-39936","sles-sap-15","TERMINATED","10.41.4.5","None","","","projects/826650534220","prod-dr-40272","asia-southeast1","asia-southeast1-b","tim-cio-prod-dr","newagefinance-40272-prod-app-dr-subnet","39936","6","2021-03-17T05:14:33.848-07:00","","2023-06-09T08:15:12"
"GCP","019DAC-46CEC3-169EA2","billingAccounts","Compute Engine","gvmspdr12289004","6791037957584592982","e2-custom-8-16384","windows-server-2016-dc","RUNNING","10.41.4.195","None","","","projects/834256345247","prod-dr-12289","asia-southeast1","asia-southeast1-a","tim-cio-prod-dr","cio-msft-sysadmin-12289-prod-db-dr-subnet","16384","8","2021-05-24T05:40:25.925-07:00","","2023-06-09T08:15:12"
"GCP","019DAC-46CEC3-169EA2","billingAccounts","Compute Engine","gmuvmp35454-002","697269568800691757","e2-custom-8-16384","windows-server-2016-dc","RUNNING","10.179.9.194","None","","","projects/426139793976","prod-35454","asia-south1","asia-south1-b","tim-cio-prod","cio-hci-35454-prod-db-subnet","16384","8","2020-11-04T23:24:52.341-08:00","","2023-06-09T08:15:12"
"GCP","019DAC-46CEC3-169EA2","billingAccounts","Compute Engine","gsinvmp03080-02","6918622396347037007","n2-custom-40-247808","rhel-8-server","RUNNING","10.41.5.131","None","","","projects/726163429262","prod-03080","asia-southeast1","asia-southeast1-b","tim-cio-prod-dr","cio-ps-sysadmin-prod-dr-subnet","247808","40","2023-02-28T06:11:45.004-08:00","","2023-06-09T08:15:12"
"GCP","019DAC-46CEC3-169EA2","billingAccounts","Compute Engine","gvm-ltpdr-001","3908483365695914131","n1-highmem-4","sles-sap-15","TERMINATED","10.41.4.14","None","","","projects/826650534220","prod-dr-40272","asia-southeast1","asia-southeast1-b","tim-cio-prod-dr","newagefinance-40272-prod-app-dr-subnet","26624","4","2021-04-16T09:42:37.478-07:00","","2023-06-09T08:15:12"
"GCP","019DAC-46CEC3-169EA2","billingAccounts","Compute Engine","gcpvm21923-04","5046474162792833016","e2-standard-4","windows-server-2016-dc","RUNNING","10.179.8.198","None","","","projects/662346668248","prod-21923","asia-south1","asia-south1-a","tim-cio-prod","cio-ps-21923-prod-app-subnet","16384","4","2020-12-15T21:54:33.701-08:00","","2023-06-09T08:15:12"
"GCP","019DAC-46CEC3-169EA2","billingAccounts","Compute Engine","gcpinmuvm-sndiscovery-001","4932263772130573870","e2-standard-4","windows-server-2016-dc","RUNNING","10.179.66.42","None","","","projects/593286512170","tim-common-services","asia-south1","asia-south1-c","tim-common-services","common-service-template-subnet","16384","4","2022-08-09T22:23:14.390-07:00","","2023-06-09T08:15:12"
"GCP","019DAC-46CEC3-169EA2","billingAccounts","Compute Engine","gvmspdr12289005","5627806581584039247","e2-custom-8-16384","windows-server-2016-dc","RUNNING","10.41.4.200","None","","","projects/834256345247","prod-dr-12289","asia-southeast1","asia-southeast1-a","tim-cio-prod-dr","cio-msft-sysadmin-12289-prod-db-dr-subnet","16384","8","2021-09-15T01:49:36.798-07:00","","2023-06-09T08:15:12"
"GCP","019DAC-46CEC3-169EA2","billingAccounts","Compute Engine","gvm-techm-poc-host-haproxy-01-vm","8767011703041851543","n2d-standard-2","debian-10-buster","RUNNING","10.179.25.115","None","","","projects/331627313781","techm-poc-host","asia-south1","asia-south1-a","techm-vpc-poc","techm-poc-host-haproxy-subnet-01","8192","2","2022-09-22T22:04:57.852-07:00","","2023-06-09T08:15:12"
"GCP","019DAC-46CEC3-169EA2","billingAccounts","Compute Engine","gmuvdmgmtcduta-004","3427364259205483982","e2-standard-4","windows-server-2016-dc","RUNNING","10.179.41.6","None","","","projects/526326811285","poc-mgmt-cdu-ta","asia-south1","asia-south1-b","techm-vpc-poc","mgmt-project-for-cdu-ta-mgmt-cdu-ta-poc-subnet","16384","4","2020-10-07T05:22:59.593-07:00","","2023-06-09T08:15:12"
"GCP","019DAC-46CEC3-169EA2","billingAccounts","Compute Engine","gvmspdr12289005","5627806581584039247","e2-custom-8-16384","windows-server-2016-dc","RUNNING","10.41.4.200","None","","","projects/834256345247","prod-dr-12289","asia-southeast1","asia-southeast1-a","tim-cio-prod-dr","cio-msft-sysadmin-12289-prod-db-dr-subnet","16384","8","2021-09-15T01:49:36.798-07:00","","2023-06-09T08:15:12"
"GCP","019DAC-46CEC3-169EA2","billingAccounts","Compute Engine","gmuvmp40272bs","6370528386936660283","e2-custom-4-8192","windows-server-2016-dc","TERMINATED","10.41.4.3","None","","","projects/826650534220","prod-dr-40272","asia-southeast1","asia-southeast1-b","tim-cio-prod-dr","newagefinance-40272-prod-app-dr-subnet","8192","4","2021-03-12T04:34:29.608-08:00","","2023-06-09T08:15:12"
"GCP","019DAC-46CEC3-169EA2","billingAccounts","Compute Engine","gvm-s4pdr-001","7122647748251966331","custom-12-79872","sles-sap-15","TERMINATED","10.41.4.77","None","","","projects/826650534220","prod-dr-40272","asia-southeast1","asia-southeast1-b","tim-cio-prod-dr","newagefinance-40272-prod-db-dr-subnet","79872","12","2021-04-02T02:36:21.460-07:00","","2023-06-09T08:15:12"
"GCP","019DAC-46CEC3-169EA2","billingAccounts","Compute Engine","gmuvmdsap30-b","5647097027743129822","e2-medium","windows-server-2016-dc","RUNNING","10.179.28.195","None","","","projects/1041141152200","poc01-98000030","asia-south1","asia-south1-c","techm-vpc-poc","cu-sap-98000030-poc01-subnet","4096","2","2021-04-01T21:31:46.520-07:00","","2023-06-09T08:15:12"
"GCP","019DAC-46CEC3-169EA2","billingAccounts","Compute Engine","gcpinmuvm-wtg-001","7762376503127825216","custom-8-16384","windows-server-2016-dc","RUNNING","10.90.3.7","None","","","projects/593286512170","tim-common-services","asia-south1","asia-south1-c","tim-common-services","tim-common-subnet","16384","8","2020-09-21T01:34:57.437-07:00","","2023-06-09T08:15:12"
"GCP","019DAC-46CEC3-169EA2","billingAccounts","Compute Engine","gvm-b4pdr-002","6888229622941606335","custom-6-23040","sles-sap-15","TERMINATED","10.41.4.7","None","","","projects/826650534220","prod-dr-40272","asia-southeast1","asia-southeast1-b","tim-cio-prod-dr","newagefinance-40272-prod-app-dr-subnet","23040","6","2021-04-06T06:17:04.799-07:00","","2023-06-09T08:15:12"
"GCP","019DAC-46CEC3-169EA2","billingAccounts","Compute Engine","gvm-s4pdr-003","8944700809405808653","custom-12-79872","sles-sap-15","TERMINATED","10.41.4.76","None","","","projects/826650534220","prod-dr-40272","asia-southeast1","asia-southeast1-b","tim-cio-prod-dr","newagefinance-40272-prod-db-dr-subnet","79872","12","2021-04-01T10:12:03.622-07:00","","2023-06-09T08:15:12"
"GCP","019DAC-46CEC3-169EA2","billingAccounts","Compute Engine","gvmspdr12289006","5611806707407050600","e2-standard-8","windows-server-2016-dc","TERMINATED","10.41.4.203","None","","","projects/834256345247","prod-dr-12289","asia-southeast1","asia-southeast1-c","tim-cio-prod-dr","cio-msft-sysadmin-12289-prod-db-dr-subnet","32768","8","2021-11-09T22:41:12.086-08:00","","2023-06-09T08:15:12"
"GCP","019DAC-46CEC3-169EA2","billingAccounts","Compute Engine","gvmspdr12289006","5611806707407050600","e2-standard-8","windows-server-2016-dc","TERMINATED","10.41.4.203","None","","","projects/834256345247","prod-dr-12289","asia-southeast1","asia-southeast1-c","tim-cio-prod-dr","cio-msft-sysadmin-12289-prod-db-dr-subnet","32768","8","2021-11-09T22:41:12.086-08:00","","2023-06-09T08:15:12"
"GCP","019DAC-46CEC3-169EA2","billingAccounts","Compute Engine","gvm-bdpdr-001","8428438885658313837","m1-ultramem-160","sles-sap-15","TERMINATED","10.41.4.79","None","","","projects/826650534220","prod-dr-40272","asia-southeast1","asia-southeast1-b","tim-cio-prod-dr","newagefinance-40272-prod-db-dr-subnet","3936256","160","2021-04-07T02:25:23.568-07:00","","2023-06-09T08:15:12"
"GCP","019DAC-46CEC3-169EA2","billingAccounts","Compute Engine","gmuvdmgmtcduta-002","3743349624557014941","e2-standard-4","windows-server-2016-dc","RUNNING","10.179.41.4","None","","","projects/526326811285","poc-mgmt-cdu-ta","asia-south1","asia-south1-a","techm-vpc-poc","mgmt-project-for-cdu-ta-mgmt-cdu-ta-poc-subnet","16384","4","2020-10-07T05:15:48.721-07:00","","2023-06-09T08:15:12"
"GCP","019DAC-46CEC3-169EA2","billingAccounts","Compute Engine","gsinvmp03080-01","5012157929153082539","n2-custom-32-65536","rhel-8-server","RUNNING","10.41.5.130","None","","","projects/726163429262","prod-03080","asia-southeast1","asia-southeast1-b","tim-cio-prod-dr","cio-ps-sysadmin-prod-dr-subnet","65536","32","2023-02-28T06:05:57.232-08:00","","2023-06-09T08:15:12"
"GCP","019DAC-46CEC3-169EA2","billingAccounts","Compute Engine","gmuvmp40272001","3541238884222728172","e2-standard-8","windows-server-2016-dc","RUNNING","10.179.12.194","None","","","projects/858397617819","prod-40272","asia-south1","asia-south1-c","tim-cio-prod","newagefinance-40272-prod-tr-subnet","32768","8","2021-03-10T05:26:28.722-08:00","","2023-06-09T08:15:12"
"GCP","019DAC-46CEC3-169EA2","billingAccounts","Compute Engine","gvm-sdpdr-001","9150458231404537717","m1-ultramem-40","sles-sap-15","TERMINATED","10.41.4.68","None","","","projects/826650534220","prod-dr-40272","asia-southeast1","asia-southeast1-b","tim-cio-prod-dr","newagefinance-40272-prod-db-dr-subnet","984064","40","2021-03-08T22:45:46.769-08:00","","2023-06-09T08:15:12"
"GCP","019DAC-46CEC3-169EA2","billingAccounts","Compute Engine","gcpinmuvm-wtg-002","3043300449576147070","custom-8-16384","windows-server-2016-dc","RUNNING","10.90.3.8","None","","","projects/593286512170","tim-common-services","asia-south1","asia-south1-c","tim-common-services","tim-common-subnet","16384","8","2020-09-21T01:38:42.662-07:00","","2023-06-09T08:15:12"
"GCP","019DAC-46CEC3-169EA2","billingAccounts","Compute Engine","gvm-bopdr-001","4632129108180598340","custom-10-66560","sles-sap-15","TERMINATED","10.41.4.10","None","","","projects/826650534220","prod-dr-40272","asia-southeast1","asia-southeast1-b","tim-cio-prod-dr","newagefinance-40272-prod-app-dr-subnet","66560","10","2021-04-12T05:44:28.714-07:00","","2023-06-09T08:15:12"
"GCP","019DAC-46CEC3-169EA2","billingAccounts","Compute Engine","gmuvmd30-02","8802379758014750362","n2d-highmem-4","sles-sap-15","RUNNING","10.179.43.228","None","","","projects/645301622679","poc-98000030","asia-south1","asia-south1-c","techm-vpc-poc","cu-sap-98000030-poc-subnet","32768","4","2021-02-09T20:26:30.383-08:00","","2023-06-09T08:15:12"
"GCP","019DAC-46CEC3-169EA2","billingAccounts","Compute Engine","gsinvmp03080-02","6918622396347037007","n2-custom-40-247808","rhel-8-server","RUNNING","10.41.5.131","None","","","projects/726163429262","prod-03080","asia-southeast1","asia-southeast1-b","tim-cio-prod-dr","cio-ps-sysadmin-prod-dr-subnet","247808","40","2023-02-28T06:11:45.004-08:00","","2023-06-09T08:15:12"
"GCP","019DAC-46CEC3-169EA2","billingAccounts","Compute Engine","gvmd-ecapp-01","4579480561546131120","n2-standard-4","sles-sap-15","TERMINATED","10.179.29.19","None","","","projects/1041141152200","poc01-98000030","asia-south1","asia-south1-a","techm-vpc-poc","cu-sap-98000030-poc01-app-db-subnet","16384","4","2021-04-08T02:09:52.340-07:00","","2023-06-09T08:15:12"
